role_id,capability_resource,permission
2,user/confidential:write,1
2,user/profile:write,1
3,user:delete,1
3,user:write,1
3,user/confidential:read,1
3,role/assignment:write,1
3,room:write,1
3,specialty:write,1
3,subject:write,1
3,timetable:write,1
3,study_group:read,1
3,study_group:write,1
3,study_group:delete,1
3,course:write,1
3,course:archive,1
3,course:delete,1
3,course/topics:write,1
3,course/study_group:write,1
3,course/elements:read,1
3,course/elements:write,1
3,course/elements:delete,1
3,course/submissions:read,1
6,course/elements:read,1
6,course/submissions:submit,1
7,course:write,1
7,course:archive,1
7,course/topics:write,1
7,course/elements:read,1
7,course/elements:write,1
7,course/elements:delete,1
7,course/submissions:read,1
7,course/submissions:grade,1
10,study_group:write,1
